zipcode,price
10001.0,49613816.0
10002.0,3989431.81
10003.0,5160787.79
10004.0,2023333.5
10005.0,859285.71
10006.0,752666.67
10007.0,1502682.0
10009.0,7691163.0
10010.0,26826000.0
10011.0,12852818.11
10012.0,4784000.0
10013.0,11033040.78
10014.0,7581250.0
10016.0,4177860.74
10017.0,67355142.86
10018.0,28609507.6
10019.0,13322864.62
10021.0,7896299.69
10022.0,13768643.4
10023.0,5218948.32
10024.0,5923359.38
10025.0,2697841.32
10026.0,2308967.2
10027.0,6207143.75
10028.0,10555371.33
10029.0,4567916.67
10030.0,5808033.64
10031.0,3774779.33
10032.0,12859428.0
10033.0,12995938.0
10034.0,1648333.33
10035.0,2113562.5
10036.0,22546012.5
10037.0,1035272.5
10038.0,2394000.0
10039.0,13217366.25
10040.0,11905000.0
10065.0,5798232.22
10069.0,1130000.0
10075.0,8409975.0
10128.0,3222574.69
10280.0,743870.67
10301.0,880288.45
10302.0,934850.0
10303.0,471522.06
10304.0,810422.3
10305.0,476254.71
10306.0,309288.43
10307.0,734998.7
10308.0,467266.67
10309.0,653990.94
10310.0,400800.0
10312.0,636312.15
10314.0,467330.47
10451.0,1684041.0
10452.0,5622500.0
10453.0,1499446.0
10454.0,5482320.0
10455.0,622853.0
10456.0,3226907.0
10457.0,5085000.0
10458.0,1418857.14
10459.0,5039166.67
10460.0,436666.67
10461.0,3876250.0
10462.0,451534.81
10463.0,5891961.6
10464.0,394000.0
10465.0,461589.88
10466.0,362176.0
10467.0,2065572.5
10468.0,4042896.89
10469.0,414447.78
10471.0,7275000.0
10472.0,2523920.0
10473.0,887626.67
10474.0,1075000.0
10475.0,7520000.0
11001.0,554666.67
11004.0,523914.5
11101.0,3868604.83
11102.0,2090000.0
11103.0,1963500.0
11104.0,1184178.86
11105.0,4219400.0
11106.0,5954526.78
11109.0,1075000.0
11201.0,6341110.72
11203.0,1171625.0
11204.0,1202298.91
11205.0,2746210.0
11206.0,2883149.71
11207.0,646292.73
11208.0,3376508.17
11209.0,3745730.75
11210.0,735000.0
11211.0,2482361.0
11212.0,2188173.44
11213.0,1070736.89
11214.0,1214512.2
11215.0,3036825.38
11216.0,1431537.28
11217.0,4980527.56
11218.0,6994687.5
11219.0,2843867.08
11220.0,1451437.5
11221.0,1376141.54
11222.0,4585304.78
11223.0,3512814.5
11224.0,585000.0
11225.0,3999300.0
11226.0,3807376.59
11228.0,1306000.0
11229.0,3456103.68
11230.0,3717758.62
11231.0,1157227.1
11232.0,1148500.0
11233.0,675119.27
11234.0,931795.88
11235.0,1457088.17
11236.0,535026.25
11237.0,1157656.25
11238.0,4060256.46
11249.0,4779208.64
11354.0,1634143.4
11355.0,3649063.64
11356.0,483500.0
11357.0,1054709.38
11358.0,3649549.67
11360.0,785000.0
11361.0,1691428.57
11362.0,543750.0
11363.0,626000.0
11364.0,666333.33
11365.0,1425866.4
11366.0,586008.83
11367.0,491200.0
11368.0,1241250.0
11369.0,15000.0
11370.0,623993.33
11372.0,2282519.62
11373.0,2316250.0
11374.0,610877.27
11375.0,963000.0
11377.0,1085206.45
11378.0,2984134.62
11379.0,526843.75
11385.0,1083814.79
11411.0,448600.0
11412.0,363073.24
11413.0,953570.32
11414.0,420678.57
11415.0,497732.67
11416.0,960000.0
11417.0,772875.0
11418.0,436285.71
11419.0,319500.0
11420.0,408946.22
11421.0,1127749.5
11422.0,404000.0
11426.0,484272.73
11427.0,1855000.0
11428.0,291845.0
11429.0,381187.5
11432.0,1109666.67
11433.0,444526.88
11434.0,294485.18
11435.0,2644098.6
11436.0,310100.17
11691.0,1349923.08
11692.0,423100.0
11693.0,298857.14
11694.0,364887.14
